6,0,6.0,5.99,-0.29
6,0,7.0,4.99,-0.29
6,0,8.0,4.99,-1.29
6,0,9.0,4.99,0.71
6,0,10.0,-0.75,26.19
6,0,11.0,1.25,26.19
6,0,12.0,0.25,26.19
6,0,13.0,0.25,25.19
6,0,14.0,0.25,27.19
6,1,0.0,2.63,17.88
6,1,1.0,4.63,17.88
6,1,2.0,3.63,17.88
6,1,3.0,3.63,16.88
6,1,4.0,3.63,18.88
6,1,5.0,3.88,0.53
6,1,6.0,5.88,0.53
6,1,7.0,4.88,0.53
6,1,8.0,4.88,-0.47
6,1,9.0,4.88,1.53
6,1,10.0,-0.63,25.74
6,1,11.0,1.37,25.74
6,1,12.0,0.37,25.74
6,1,13.0,0.37,24.74
6,1,14.0,0.37,26.74
6,2,0.0,1.66,25.80
6,2,1.0,3.66,25.80
6,2,2.0,2.66,25.80
6,2,3.0,2.66,24.8
6,2,4.0,2.66,26.8
6,2,5.0,3.69,0.78
6,2,6.0,5.69,0.78
6,2,7.0,4.69,0.78
6,2,8.0,4.69,-0.22
6,2,9.0,4.69,1.78
6,2,10.0,0.2,25.64
6,2,11.0,2.2,25.64
6,2,12.0,1.20,25.64
6,2,13.0,1.20,24.64
6,2,14.0,1.20,26.64
7,0,0.0,3.95,0.63
7,0,1.0,5.95,0.63
7,0,2.0,4.95,0.63
7,0,3.0,4.95,-0.37
7,0,4.0,4.95,1.63
7,0,5.0,3.98,-0.28
7,0,6.0,5.98,-0.28
7,0,7.0,4.98,-0.28
7,0,8.0,4.98,-1.28
7,0,9.0,4.98,0.72
7,0,10.0,-0.82,26.46
7,0,11.0,1.18,26.46
7,0,12.0,0.18,26.46
7,0,13.0,0.18,25.46
7,0,14.0,0.18,27.46
7,1,0.0,-0.57,17.12
7,1,1.0,1.43,17.12
7,1,2.0,0.43,17.12
7,1,3.0,0.43,16.12
7,1,4.0,0.43,18.12
7,1,5.0,4.0,0.79
7,1,6.0,6.0,0.79
7,1,7.0,5.00,0.79
7,1,8.0,5.00,-0.21
7,1,9.0,5.00,1.79
7,1,10.0,-1.03,25.85
7,1,11.0,0.97,25.85
7,1,12.0,-0.03,25.85
7,1,13.0,-0.03,24.85
7,1,14.0,-0.03,26.85
7,2,0.0,-3.38,25.46
7,2,1.0,-1.38,25.46
7,2,2.0,-2.38,25.46
7,2,3.0,-2.38,24.46
7,2,4.0,-2.38,26.46
7,2,5.0,3.86,0.92
7,2,6.0,5.86,0.92
7,2,7.0,4.86,0.92
7,2,8.0,4.86,-0.08
7,2,9.0,4.86,1.92
7,2,10.0,-2.08,25.45
7,2,11.0,-0.08,25.45
7,2,12.0,-1.08,25.45
7,2,13.0,-1.08,24.45
7,2,14.0,-1.08,26.45
8,0,0.0,3.94,0.72
8,0,1.0,5.94,0.72
8,0,2.0,4.94,0.72
8,0,3.0,4.94,-0.28
8,0,4.0,4.94,1.72
8,0,5.0,4.07,-0.36
8,0,6.0,6.07,-0.36
8,0,7.0,5.07,-0.36
8,0,8.0,5.07,-1.36
8,0,9.0,5.07,0.64
8,0,10.0,-0.62,25.26
8,0,11.0,1.38,25.26
8,0,12.0,0.38,25.26
8,0,13.0,0.38,24.26
8,0,14.0,0.38,26.26
8,1,0.0,2.38,18.18
8,1,1.0,4.38,18.18
8,1,2.0,3.38,18.18
8,1,3.0,3.38,17.18
