conID,tstID,poiID,x,y
78,1,1,5.57,-0.43
78,1,2,2.26,24.5
78,2,0,0.39,24.15
78,2,1,5.36,-0.94
78,2,2,1.81,24.11
79,0,0,1.42,-0.5
79,0,1,2.59,-1.33
79,0,2,3.34,25.68
79,1,0,6.63,20.38
79,1,1,1.96,-1.17
79,1,2,5.57,25.71
79,2,0,7.96,25.51
79,2,1,2.31,-1.12
79,2,2,6.95,25.67
80,0,0,2.99,-0.54
80,0,1,1.89,-0.92
80,0,2,5.98,26.88
80,1,0,1.86,18.69
80,1,1,2.19,-1.29
80,1,2,3.79,26.61
80,2,0,1.45,26.12
80,2,1,3.14,-1.13
80,2,2,2.19,27.01
81,0,0,4.76,-0.02
81,0,1,3.79,-0.43
81,0,2,2.8,25.85
81,1,0,2.52,20.14
81,1,1,3.66,-0.48
81,1,2,3.03,26.02
81,2,0,1.81,26.35
81,2,1,3.94,-1.17
81,2,2,3.02,25.79
82,0,0,5.01,0.79
82,0,1,5.1,-0.1
82,0,2,0.38,24.96
82,1,0,2.42,16.94
82,1,1,4.93,0.79
82,1,2,0.51,24.5
82,2,0,1.07,25.02
82,2,1,4.71,0.5
82,2,2,0.35,25.08
83,0,0,1.72,0.6
83,0,1,2.65,-0.55
83,0,2,2.53,25.03
83,1,0,1.5,21.0
83,1,1,2.5,-0.62
83,1,2,3.03,25.15
83,2,0,1.62,25.26
83,2,1,3.14,-0.64
83,2,2,2.56,25.21
84,0,0,7.13,-0.6
84,0,1,5.94,-0.92
84,0,2,3.08,25.62
84,1,0,7.5,20.9
84,1,1,5.83,-1.08
84,1,2,4.6,25.87
84,2,0,7.56,25.94
84,2,1,5.12,-1.08
84,2,2,6.11,26.24
85,0,0,4.88,3.79
85,0,1,3.69,3.12
85,0,2,6.09,26.66
85,1,0,7.86,22.69
85,1,1,3.71,5.11
85,1,2,5.44,26.41
85,2,0,8.35,26.49
85,2,1,4.03,5.93
85,2,2,6.71,26.6
86,0,0,3.39,5.77
86,0,1,3.46,4.57
86,0,2,5.02,27.65
86,1,0,2.44,18.01
86,1,1,3.13,3.94
86,1,2,4.71,26.65
86,2,0,1.75,26.64
86,2,1,3.01,4.57
86,2,2,3.05,26.52
87,0,0,5.09,-0.15
87,0,1,5.05,-0.46
87,0,2,0.22,26.34
87,1,0,3.42,16.58
87,1,1,5.07,0.59
87,1,2,0.35,26.09
87,2,0,2.01,25.97
87,2,1,4.67,0.88
87,2,2,1.22,25.54
88,0,0,1.68,-0.79
88,0,1,2.6,-2.01
88,0,2,3.92,26.21
88,1,0,6.4,22.28
88,1,1,2.76,-2.5
88,1,2,5.64,25.84
88,2,0,6.96,26.08
88,2,1,3.02,-2.42
88,2,2,6.14,26.52
89,0,0,2.94,-2.39
89,0,1,1.63,-2.52
89,0,2,4.81,26.59
89,1,0,0.89,20.71
89,1,1,2.14,-2.42
89,1,2,2.86,26.84
89,2,0,0.27,26.53
89,2,1,3.08,-2.12
89,2,2,1.41,26.72
90,0,0,8.37,-1.08
90,0,1,7.41,-2.45
90,0,2,0.25,26.85
90,1,0,2.42,19.48
90,1,1,7.86,-2.56
90,1,2,1.67,25.84
90,2,0,0.55,25.72
90,2,1,6.99,-2.63
90,2,2,1.76,25.54
91,0,0,-0.44,-3.44
91,0,1,0.38,-3.85
91,0,2,4.44,25.59
91,1,0,7.61,21.33
91,1,1,0.35,-3.47
91,1,2,6.96,25.23
91,2,0,8.86,25.29
91,2,1,1.09,-2.96
91,2,2,7.98,25.47
92,0,0,5.05,0.38
92,0,1,5.06,-0.27
92,0,2,0.36,26.61
92,1,0,1.0,17.21
92,1,1,5.02,0.81
92,1,2,0.4,25.83
